project_id,name,description,category,cost,latitude,longitude,votes,selected,target_demographic,moral_value,secondary_moral_value,source_files,moral_score_Care,moral_score_Fairness,moral_score_Loyalty,moral_score_Authority,moral_score_Sanctity,moral_confidence_Care,moral_confidence_Fairness,moral_confidence_Loyalty,moral_confidence_Authority,moral_confidence_Sanctity
1,After-School Tutoring Program,"This program provides free after-school tutoring services for students in grades K-12, offering homework help, academic support, and enrichment activities in math, science, and reading. The program operates Monday through Friday from 3:00 PM to 6:00 PM at local community centers. This project promotes respect for authority, leadership, and social order.",Education,95105,40.734,-73.956,26,0,families,Authority,Fairness,synthetic_balanced,0.3125721514225006,0.008290507830679417,0.03265034034848213,0.649019718170166,0.0238905381411314,0.3125721514225006,0.008290507830679417,0.03265034034848213,0.649019718170166,0.0238905381411314
2,Digital Learning Center,"This project establishes a modern digital learning center equipped with computers, tablets, educational software, and high-speed internet. The center provides access to online learning resources, coding classes, and digital literacy training for students and adults. This project demonstrates care and compassion for community members.",Education,301854,40.795,-73.995,87,0,seniors,Care,Loyalty,synthetic_balanced,0.7361240386962891,0.006457365583628416,0.06289514154195786,0.05019015818834305,0.024344734847545624,0.7361240386962891,0.006457365583628416,0.06289514154195786,0.05019015818834305,0.024344734847545624
3,Library Renovation and Expansion,"This project modernizes the community library with new furniture, updated technology, improved lighting, and expanded children's section. The renovation will create a more welcoming and accessible space for all residents with dedicated study areas and meeting rooms. This project demonstrates care and compassion for community members.",Education,383161,40.752,-73.958,37,1,seniors,Care,Fairness,synthetic_balanced,0.6616339683532715,0.01297723688185215,0.058603376150131226,0.11413467675447464,0.025730814784765244,0.6616339683532715,0.01297723688185215,0.058603376150131226,0.11413467675447464,0.025730814784765244
4,STEM Workshop Series,"This initiative offers hands-on STEM workshops covering robotics, coding, engineering, and science experiments. The series targets students in grades 6-12 and includes weekend sessions, summer camps, and after-school programs. This project strengthens community bonds and loyalty to local values.",Education,479978,40.745,-73.926,73,0,children,Loyalty,Sanctity,synthetic_balanced,0.19345271587371826,0.007254262920469046,0.4757038950920105,0.07398588210344315,0.021835235878825188,0.19345271587371826,0.007254262920469046,0.4757038950920105,0.07398588210344315,0.021835235878825188
5,Adult Education Classes,"This program offers free adult education classes covering basic literacy, GED preparation, computer skills, and English as a Second Language. Classes are held evenings and weekends to accommodate working adults. This project protects and preserves sacred community values and traditions.",Education,365934,40.773,-73.909,71,1,seniors,Sanctity,Loyalty,synthetic_balanced,0.20920471847057343,0.007127942051738501,0.19378292560577393,0.061102669686079025,0.06062833592295647,0.20920471847057343,0.007127942051738501,0.19378292560577393,0.061102669686079025,0.06062833592295647
6,Computer Lab Installation,"This project establishes a fully-equipped computer lab at the community center with 25 computers, high-speed internet, and software for job training, online learning, and digital literacy programs. This project promotes fairness, equality, and justice for all residents.",Education,432602,40.732,-73.978,71,0,community,Fairness,Care,synthetic_balanced,0.31814447045326233,0.7608119249343872,0.013940595090389252,0.06370748579502106,0.02303006500005722,0.31814447045326233,0.7608119249343872,0.013940595090389252,0.06370748579502106,0.02303006500005722
7,Reading Corner for Children,"This initiative creates dedicated reading spaces in community centers with comfortable seating, age-appropriate books, and storytelling sessions for children ages 3-10. This project promotes respect for authority, leadership, and social order.",Education,256098,40.749,-73.966,28,1,seniors,Authority,Fairness,synthetic_balanced,0.34744033217430115,0.015147293917834759,0.023410828784108162,0.6155917048454285,0.02947196178138256,0.34744033217430115,0.015147293917834759,0.023410828784108162,0.6155917048454285,0.02947196178138256
8,Teacher Training Program,"This professional development program offers training workshops for local teachers on innovative teaching methods, technology integration, and student engagement strategies. This project promotes fairness, equality, and justice for all residents.",Education,354301,40.772,-73.917,39,0,adults,Fairness,Care,synthetic_balanced,0.397830605506897,0.8377183079719543,0.021930256858468056,0.5669263005256653,0.019534215331077576,0.397830605506897,0.8377183079719543,0.021930256858468056,0.5669263005256653,0.019534215331077576
9,Educational Technology Upgrade,"This project provides schools with access to online educational platforms, e-books, digital learning tools, and interactive whiteboards to enhance classroom instruction. This project demonstrates care and compassion for community members.",Education,277069,40.792,-73.945,53,1,community,Care,Fairness,synthetic_balanced,0.7269878387451172,0.005379423964768648,0.05382103472948074,0.06864603608846664,0.020816178992390633,0.7269878387451172,0.005379423964768648,0.05382103472948074,0.06864603608846664,0.020816178992390633
10,Scholarship Fund for Students,"This fund provides financial assistance to local high school graduates pursuing higher education. Scholarships are awarded based on academic merit, financial need, and community service involvement. This project demonstrates care and compassion for community members.",Education,122935,40.732,-73.984,48,0,seniors,Care,Loyalty,synthetic_balanced,0.7843676209449768,0.00904104858636856,0.20928464829921722,0.029873304069042206,0.021031390875577927,0.7843676209449768,0.00904104858636856,0.20928464829921722,0.029873304069042206,0.021031390875577927
11,Science Laboratory Equipment,"This project equips schools with modern science laboratory equipment including microscopes, chemistry sets, physics apparatus, and safety equipment for hands-on science education. This project addresses practical community needs without strong moral implications.",Education,347559,40.777,-73.973,78,0,families,Non-Moral,Fairness,synthetic_balanced,0.33228084444999695,0.0056144194677472115,0.012153351679444313,0.08301873505115509,0.03135455399751663,0.33228084444999695,0.0056144194677472115,0.012153351679444313,0.08301873505115509,0.03135455399751663
12,Language Learning Center,"This program offers free language classes for community members, including English as a Second Language (ESL) and other languages based on community needs. This project demonstrates care and compassion for community members.",Education,317393,40.707,-73.916,20,0,children,Care,Fairness,synthetic_balanced,0.7399075031280518,0.00821771565824747,0.135000541806221,0.04810468852519989,0.02367771789431572,0.7399075031280518,0.00821771565824747,0.135000541806221,0.04810468852519989,0.02367771789431572
13,Special Education Support,"This project provides specialized resources and support services for students with disabilities, including assistive technology, specialized equipment, and trained support staff. This project promotes respect for authority, leadership, and social order.",Education,122450,40.75,-73.989,64,1,youth,Authority,Sanctity,synthetic_balanced,0.6246703267097473,0.013740809634327888,0.06561080366373062,0.6089459657669067,0.0172389168292284,0.6246703267097473,0.013740809634327888,0.06561080366373062,0.6089459657669067,0.0172389168292284
14,Career Counseling Services,"This service offers career guidance, resume writing assistance, job search support, and skills assessment for community members seeking employment or career advancement. This project promotes fairness, equality, and justice for all residents.",Education,317573,40.753,-73.984,59,1,children,Fairness,Authority,synthetic_balanced,0.6492522358894348,0.7266854047775269,0.037102557718753815,0.02854330465197563,0.02304171212017536,0.6492522358894348,0.7266854047775269,0.037102557718753815,0.02854330465197563,0.02304171212017536
15,Educational Field Trips,"This program funds educational field trips for students to museums, science centers, historical sites, and cultural institutions to enhance classroom learning. This project promotes fairness, equality, and justice for all residents.",Education,52079,40.768,-73.984,86,0,community,Fairness,Authority,synthetic_balanced,0.31903451681137085,0.8354703783988953,0.016031187027692795,0.05830621346831322,0.02707129903137684,0.31903451681137085,0.8354703783988953,0.016031187027692795,0.05830621346831322,0.02707129903137684
16,Student Mentorship Program,"This initiative pairs students with adult mentors from the community to provide guidance, support, and encouragement for academic and personal development. This project strengthens community bonds and loyalty to local values.",Education,397319,40.774,-73.995,22,0,youth,Loyalty,Care,synthetic_balanced,0.5643736720085144,0.004195326007902622,0.6470897793769836,0.21791137754917145,0.016067489981651306,0.5643736720085144,0.004195326007902622,0.6470897793769836,0.21791137754917145,0.016067489981651306
17,Literacy Improvement Initiative,"This program promotes early childhood literacy through storytime sessions, book distribution, and parent education workshops targeting children ages 3-8 and their families. This project demonstrates care and compassion for community members.",Education,397202,40.759,-73.915,41,1,youth,Care,Fairness,synthetic_balanced,0.7855552434921265,0.0072440640069544315,0.06937269866466522,0.2427719384431839,0.024447916075587273,0.7855552434921265,0.0072440640069544315,0.06937269866466522,0.2427719384431839,0.024447916075587273
18,Online Learning Platform,"This project provides schools with access to online educational platforms, e-books, and digital learning tools to enhance classroom instruction and support remote learning. This project addresses practical community needs without strong moral implications.",Education,269091,40.735,-73.934,55,0,seniors,Non-Moral,Care,synthetic_balanced,0.2744787931442261,0.005744636058807373,0.0173001941293478,0.15213745832443237,0.024749470874667168,0.2744787931442261,0.005744636058807373,0.0173001941293478,0.15213745832443237,0.024749470874667168
19,Educational Resource Center,"This initiative creates a centralized resource center providing educational materials, tutoring services, and learning support for students and families. This project promotes respect for authority, leadership, and social order.",Education,366885,40.763,-73.965,92,0,families,Authority,Sanctity,synthetic_balanced,0.5288927555084229,0.01825873740017414,0.08104996383190155,0.8279239535331726,0.017706068232655525,0.5288927555084229,0.01825873740017414,0.08104996383190155,0.8279239535331726,0.017706068232655525
20,Youth Leadership Development,"This program develops leadership skills in young people through workshops, community service projects, and mentorship opportunities. This project promotes respect for authority, leadership, and social order.",Education,439693,40.719,-73.925,43,0,adults,Authority,Sanctity,synthetic_balanced,0.4276130795478821,0.015452906489372253,0.08532384783029556,0.6033019423484802,0.018484700471162796,0.4276130795478821,0.015452906489372253,0.08532384783029556,0.6033019423484802,0.018484700471162796
21,Air Quality Monitoring System,"This project installs air quality monitoring stations throughout the community to track pollution levels, identify sources, and provide real-time air quality data to residents. This project demonstrates care and compassion for community members.","Environment, Public heath and Safety",125881,40.745,-73.96,44,1,adults,Care,Fairness,synthetic_balanced,0.732365608215332,0.00984069425612688,0.05129839852452278,0.14334121346473694,0.02591349184513092,0.732365608215332,0.00984069425612688,0.05129839852452278,0.14334121346473694,0.02591349184513092
22,Community Health Clinic,"This project establishes a new community health clinic providing primary care services, preventive health screenings, and health education programs for uninsured and underinsured residents. This health and wellness initiative addresses practical community needs without strong moral implications.","Environment, Public heath and Safety",65394,40.707,-73.917,57,0,youth,Non-Moral,Fairness,synthetic_balanced,0.4100942313671112,0.018807176500558853,0.023227477446198463,0.08960269391536713,0.028542233631014824,0.4100942313671112,0.018807176500558853,0.023227477446198463,0.08960269391536713,0.028542233631014824
23,Mental Health Services,"This initiative provides counseling services, mental health screenings, and support groups for community members dealing with anxiety, depression, and other mental health challenges. This health and wellness project demonstrates care and compassion for community members.","Environment, Public heath and Safety",443325,40.753,-73.926,56,0,children,Care,Loyalty,synthetic_balanced,0.867173969745636,0.012760485522449017,0.045941371470689774,0.06130287051200867,0.02403622306883335,0.867173969745636,0.012760485522449017,0.045941371470689774,0.06130287051200867,0.02403622306883335
24,Children's Emergency Shelter,"This project establishes a safe emergency shelter for children and families experiencing homelessness or domestic violence, providing temporary housing, meals, counseling services, and support to help families get back on their feet. This project demonstrates care and compassion for community members.","Environment, Public heath and Safety",469914,40.703,-73.935,87,1,families,Care,Fairness,synthetic_balanced,0.2695017158985138,0.02110130712389946,0.06704524904489517,0.09183521568775177,0.056489016860723495,0.2695017158985138,0.02110130712389946,0.06704524904489517,0.09183521568775177,0.056489016860723495
25,Emergency Medical Equipment,"This initiative provides emergency medical equipment including defibrillators, first aid supplies, and emergency response tools for community centers and public spaces. This health and wellness project strengthens community bonds and loyalty to local values.","Environment, Public heath and Safety",84898,40.703,-73.936,78,1,community,Loyalty,Care,synthetic_balanced,0.5376871228218079,0.007132131140679121,0.5232109427452087,0.1320728212594986,0.022672448307275772,0.5376871228218079,0.007132131140679121,0.5232109427452087,0.1320728212594986,0.022672448307275772
26,24-Hour Public Toilet,"This project installs 24-hour accessible public restroom facilities in high-traffic areas to improve public health, sanitation, and accessibility for all residents. This project demonstrates care and compassion for community members.","Environment, Public heath and Safety",342820,40.773,-73.941,24,0,families,Care,Fairness,synthetic_balanced,0.76662677526474,0.01279809046536684,0.021008677780628204,0.09258489310741425,0.08598145097494125,0.76662677526474,0.01279809046536684,0.021008677780628204,0.09258489310741425,0.08598145097494125
27,Family Food Assistance Program,"This initiative provides emergency food assistance, nutrition education, and meal programs for families struggling with food insecurity, ensuring children and families have access to healthy meals and support services. This project demonstrates care and compassion for community members.","Environment, Public heath and Safety",147996,40.795,-73.962,60,0,families,Care,Fairness,synthetic_balanced,0.2463102638721466,0.03431198373436928,0.5645739436149597,0.09987569600343704,0.02137795276939869,0.2463102638721466,0.03431198373436928,0.5645739436149597,0.09987569600343704,0.02137795276939869
